2.14025,148,1,"no remark ",148,1,"no remark ",2047,1,"no remark ",1655,1,"no remark ",10
2.14025,147,1,"no remark ",147,1,"no remark ",2047,1,"no remark ",1655,1,"no remark ",10
2.14025,146,1,"no remark ",145,1,"no remark ",2047,1,"no remark ",1655,1,"no remark ",10
2.14025,145,1,"no remark ",144,1,"no remark ",2047,1,"no remark ",1655,1,"no remark ",10
2.14025,144,1,"no remark ",145,1,"no remark ",2047,1,"no remark ",1656,1,"no remark ",10
2.23425,144,1,"no remark ",144,1,"no remark ",2047,1,"no remark ",1655,1,"no remark ",10
2.23425,144,1,"no remark ",143,1,"no remark ",2047,1,"no remark ",1656,1,"no remark ",10
2.23425,143,1,"no remark ",144,1,"no remark ",2047,1,"no remark ",1656,1,"no remark ",10
2.23425,143,1,"no remark ",143,1,"no remark ",2047,1,"no remark ",1656,1,"no remark ",10
2.23425,143,1,"no remark ",143,1,"no remark ",2047,1,"no remark ",1656,1,"no remark ",10
2.23425,143,1,"no remark ",142,1,"no remark ",2047,1,"no remark ",1656,1,"no remark ",10
2.23425,142,1,"no remark ",142,1,"no remark ",2047,1,"no remark ",1656,1,"no remark ",10
2.23425,142,1,"no remark ",142,1,"no remark ",2047,1,"no remark ",1656,1,"no remark ",10
2.23425,142,1,"no remark ",142,1,"no remark ",2047,1,"no remark ",1656,1,"no remark ",10
2.23425,142,1,"no remark ",142,1,"no remark ",2047,1,"no remark ",1656,1,"no remark ",10
2.34325,142,1,"no remark ",141,1,"no remark ",2047,1,"no remark ",1656,1,"no remark ",10
2.34325,142,1,"no remark ",141,1,"no remark ",2047,1,"no remark ",1656,1,"no remark ",10
2.34325,141,1,"no remark ",141,1,"no remark ",2047,1,"no remark ",1656,1,"no remark ",10
2.34325,141,1,"no remark ",140,1,"no remark ",2047,1,"no remark ",1656,1,"no remark ",10
2.34325,141,1,"no remark ",141,1,"no remark ",2047,1,"no remark ",1656,1,"no remark ",10
2.34325,141,1,"no remark ",140,1,"no remark ",2047,1,"no remark ",1656,1,"no remark ",10
2.34325,141,1,"no remark ",141,1,"no remark ",2047,1,"no remark ",1656,1,"no remark ",10
2.34325,141,1,"no remark ",140,1,"no remark ",2047,1,"no remark ",1656,1,"no remark ",10
2.34325,141,1,"no remark ",141,1,"no remark ",2047,1,"no remark ",1656,1,"no remark ",10
2.34325,141,1,"no remark ",141,1,"no remark ",2047,1,"no remark ",1656,1,"no remark ",10
2.43725,141,1,"no remark ",140,1,"no remark ",2047,1,"no remark ",1657,1,"no remark ",10
2.43725,141,1,"no remark ",141,1,"no remark ",2047,1,"no remark ",1656,1,"no remark ",10
2.43725,141,1,"no remark ",141,1,"no remark ",2047,1,"no remark ",1657,1,"no remark ",10
2.43725,141,1,"no remark ",141,1,"no remark ",2047,1,"no remark ",1657,1,"no remark ",10
2.43725,141,1,"no remark ",140,1,"no remark ",2047,1,"no remark ",1657,1,"no remark ",10
2.43725,141,1,"no remark ",140,1,"no remark ",2047,1,"no remark ",1657,1,"no remark ",10
2.43725,141,1,"no remark ",141,1,"no remark ",2047,1,"no remark ",1657,1,"no remark ",10
2.43725,141,1,"no remark ",141,1,"no remark ",2047,1,"no remark ",1657,1,"no remark ",10
2.43725,141,1,"no remark ",141,1,"no remark ",2047,1,"no remark ",1657,1,"no remark ",10
2.43725,141,1,"no remark ",141,1,"no remark ",2047,1,"no remark ",1657,1,"no remark ",10
2.54625,141,1,"no remark ",140,1,"no remark ",2047,1,"no remark ",1657,1,"no remark ",10
2.54625,141,1,"no remark ",140,1,"no remark ",2047,1,"no remark ",1657,1,"no remark ",10
2.54625,141,1,"no remark ",141,1,"no remark ",2047,1,"no remark ",1657,1,"no remark ",10
2.54625,141,1,"no remark ",140,1,"no remark ",2047,1,"no remark ",1657,1,"no remark ",10
2.54625,140,1,"no remark ",140,1,"no remark ",2047,1,"no remark ",1657,1,"no remark ",10
