1.936625,73,1,"no remark ",72,1,"no remark ",2047,1,"no remark ",229,1,"no remark ",10
1.936625,73,1,"no remark ",73,1,"no remark ",2047,1,"no remark ",229,1,"no remark ",10
1.936625,72,1,"no remark ",71,1,"no remark ",2047,1,"no remark ",229,1,"no remark ",10
1.936625,72,1,"no remark ",72,1,"no remark ",2047,1,"no remark ",229,1,"no remark ",10
1.936625,72,1,"no remark ",72,1,"no remark ",2047,1,"no remark ",229,1,"no remark ",10
1.936625,72,1,"no remark ",72,1,"no remark ",2047,1,"no remark ",229,1,"no remark ",10
1.936625,72,1,"no remark ",71,1,"no remark ",2047,1,"no remark ",229,1,"no remark ",10
2.046625,72,1,"no remark ",71,1,"no remark ",2047,1,"no remark ",229,1,"no remark ",10
2.046625,72,1,"no remark ",72,1,"no remark ",2047,1,"no remark ",229,1,"no remark ",10
2.046625,72,1,"no remark ",72,1,"no remark ",2047,1,"no remark ",229,1,"no remark ",10
2.046625,72,1,"no remark ",72,1,"no remark ",2047,1,"no remark ",229,1,"no remark ",10
2.046625,73,1,"no remark ",72,1,"no remark ",2047,1,"no remark ",229,1,"no remark ",10
2.046625,72,1,"no remark ",72,1,"no remark ",2047,1,"no remark ",229,1,"no remark ",10
2.046625,73,1,"no remark ",73,1,"no remark ",2047,1,"no remark ",229,1,"no remark ",10
2.046625,73,1,"no remark ",72,1,"no remark ",2047,1,"no remark ",229,1,"no remark ",10
2.046625,73,1,"no remark ",73,1,"no remark ",2047,1,"no remark ",229,1,"no remark ",10
2.046625,73,1,"no remark ",72,1,"no remark ",2047,1,"no remark ",229,1,"no remark ",10
2.124625,73,1,"no remark ",72,1,"no remark ",2047,1,"no remark ",229,1,"no remark ",10
2.124625,72,1,"no remark ",72,1,"no remark ",2047,1,"no remark ",229,1,"no remark ",10
2.124625,73,1,"no remark ",72,1,"no remark ",2047,1,"no remark ",229,1,"no remark ",10
2.124625,72,1,"no remark ",72,1,"no remark ",2047,1,"no remark ",229,1,"no remark ",10
2.124625,72,1,"no remark ",72,1,"no remark ",2047,1,"no remark ",229,1,"no remark ",10
2.124625,72,1,"no remark ",72,1,"no remark ",2047,1,"no remark ",229,1,"no remark ",10
2.124625,72,1,"no remark ",72,1,"no remark ",2047,1,"no remark ",229,1,"no remark ",10
2.124625,72,1,"no remark ",71,1,"no remark ",2047,1,"no remark ",229,1,"no remark ",10
2.124625,72,1,"no remark ",72,1,"no remark ",2047,1,"no remark ",229,1,"no remark ",10
2.124625,72,1,"no remark ",72,1,"no remark ",2047,1,"no remark ",229,1,"no remark ",10
2.233625,72,1,"no remark ",72,1,"no remark ",2047,1,"no remark ",229,1,"no remark ",10
2.233625,72,1,"no remark ",72,1,"no remark ",2047,1,"no remark ",229,1,"no remark ",10
2.233625,73,1,"no remark ",72,1,"no remark ",2047,1,"no remark ",229,1,"no remark ",10
2.233625,73,1,"no remark ",72,1,"no remark ",2047,1,"no remark ",228,1,"no remark ",10
2.233625,73,1,"no remark ",73,1,"no remark ",2047,1,"no remark ",229,1,"no remark ",10
2.233625,73,1,"no remark ",72,1,"no remark ",2047,1,"no remark ",228,1,"no remark ",10
2.233625,73,1,"no remark ",73,1,"no remark ",2047,1,"no remark ",229,1,"no remark ",10
2.233625,73,1,"no remark ",73,1,"no remark ",2047,1,"no remark ",228,1,"no remark ",10
2.233625,73,1,"no remark ",73,1,"no remark ",2047,1,"no remark ",229,1,"no remark ",10
2.233625,73,1,"no remark ",73,1,"no remark ",2047,1,"no remark ",228,1,"no remark ",10
2.327625,73,1,"no remark ",73,1,"no remark ",2047,1,"no remark ",229,1,"no remark ",10
2.327625,73,1,"no remark ",72,1,"no remark ",2047,1,"no remark ",228,1,"no remark ",10
2.327625,73,1,"no remark ",73,1,"no remark ",2047,1,"no remark ",229,1,"no remark ",10
2.327625,73,1,"no remark ",73,1,"no remark ",2047,1,"no remark ",228,1,"no remark ",10
2.327625,73,1,"no remark ",73,1,"no remark ",2047,1,"no remark ",229,1,"no remark ",10
2.327625,73,1,"no remark ",73,1,"no remark ",2047,1,"no remark ",228,1,"no remark ",10
2.327625,73,1,"no remark ",73,1,"no remark ",2047,1,"no remark ",229,1,"no remark ",10
2.327625,73,1,"no remark ",72,1,"no remark ",2047,1,"no remark ",228,1,"no remark ",10
2.327625,73,1,"no remark ",73,1,"no remark ",2047,1,"no remark ",229,1,"no remark ",10
2.327625,73,1,"no remark ",73,1,"no remark ",2047,1,"no remark ",228,1,"no remark ",10
2.436625,73,1,"no remark ",73,1,"no remark ",2047,1,"no remark ",229,1,"no remark ",10
2.436625,73,1,"no remark ",72,1,"no remark ",2047,1,"no remark ",228,1,"no remark ",10
2.436625,73,1,"no remark ",73,1,"no remark ",2047,1,"no remark ",229,1,"no remark ",10
2.436625,73,1,"no remark ",73,1,"no remark ",2047,1,"no remark ",228,1,"no remark ",10
2.436625,74,1,"no remark ",73,1,"no remark ",2047,1,"no remark ",229,1,"no remark ",10
2.436625,73,1,"no remark ",73,1,"no remark ",2047,1,"no remark ",228,1,"no remark ",10
